,,,,,,
,,,,,,
16900,890,51,-421,2380,-3710,8680
,,,,,,
17000,883,50,-412,2590,-3570,8890
,,,,,,
17100,891,49,-411,2100,-5950,8680
,,,,,,
17200,888,47,-412,2660,-4410,8400
,,,,,,
17300,882,48,-413,2030,-3500,8610
,,,,,,
17400,898,46,-421,700,-3710,8820
,,,,,,
17500,885,44,-414,210,-6580,8750
,,,,,,
17600,866,48,-408,350,-2730,8610
,,,,,,
17700,900,40,-415,3640,-3780,8750
,,,,,,
17800,900,58,-418,3360,-3500,8190
,,,,,,
17900,902,52,-422,1820,-5390,8470
,,,,,,
18000,880,57,-403,1470,-6650,8750
,,,,,,
18100,870,48,-404,490,-3430,8260
,,,,,,
18200,896,50,-418,1330,-4200,8960
,,,,,,
18300,887,50,-413,770,-4340,8610
,,,,,,
18400,892,50,-417,1400,-4550,8470
,,,,,,
18500,883,50,-412,1400,-3780,8540
,,,,,,
18600,891,48,-421,1400,-5250,8120
,,,,,,
18700,893,53,-419,1540,-3780,8540
,,,,,,
18800,893,45,-424,2520,-2380,8890
,,,,,,
18900,885,58,-416,2240,-4480,8610
,,,,,,
19000,890,56,-410,70,-4620,9170
,,,,,,
19100,894,44,-417,980,-3360,9310
,,,,,,
19200,900,51,-420,1120,-4900,8820
,,,,,,
19300,893,49,-415,1050,-4760,8750
,,,,,,
19400,858,41,-398,1680,-3220,8540
,,,,,,
19500,892,54,-418,2450,-3290,9170
,,,,,,
19600,902,48,-424,1890,-5950,8610
,,,,,,
19700,901,36,-427,2100,-8960,7700
,,,,,,
19800,872,49,-414,2240,-5110,8120
,,,,,,
19900,881,53,-422,1890,-4690,8470
,,,,,,
20000,865,41,-408,4200,-2730,7910
,,,,,,
20100,891,64,-427,4130,-3150,6440
,,,,,,
20200,899,95,-441,-4830,-4410,10080
,,,,,,
20300,875,18,-409,-8610,-7910,12320
,,,,,,
20400,886,20,-420,2800,-7980,7560
,,,,,,
20500,891,58,-423,4690,-3430,6160
,,,,,,
20600,890,71,-430,1330,-3290,7770
,,,,,,
20700,869,56,-414,350,-6930,7980
,,,,,,
20800,881,63,-424,-630,-5040,8960
,,,,,,
20900,867,49,-417,-140,-4550,8960
,,,,,,
