0,830,-137,-533,6580,-6020,7000
100,818,-93,-523,5110,-5250,7910
200,819,-87,-527,1610,-4830,9870
300,825,-103,-529,-140,-3920,10150
400,826,-81,-528,-770,-5530,9940
500,834,-92,-526,-4340,-2870,11060
600,822,-101,-521,-4410,-2380,10990
700,806,-101,-527,-700,-2870,11830
800,822,-132,-530,-1680,-6790,12180
900,816,-71,-534,-3430,-8680,7000
1000,859,-73,-535,-7910,-9310,6860
1100,841,-20,-499,7700,-7140,-4200
1200,842,8,-510,9030,-12810,-5320
1300,822,-3,-479,8960,-10710,4200
1400,823,-51,-460,4970,-2590,4620
1500,849,-21,-460,8890,-6440,9590
1600,893,25,-453,16730,-9170,7140
1700,886,-37,-689,9240,-25970,-140
1800,676,-75,-596,-5600,20720,22400
1900,713,-86,-659,-12880,-45220,11410
2000,757,-170,-518,10430,49770,32970
2100,826,-115,-540,-7280,-43050,35350
2200,707,-163,-386,-3010,11480,8400
2300,920,-167,-459,210,3710,7560
2400,830,-178,-601,-7140,-5180,31360
2500,827,-226,-549,10850,10920,7840
2600,551,-35,-666,-12600,-23380,11200
2700,956,-235,-639,-26600,11130,-9940
2800,557,-3,-437,-6090,-22540,3010
2900,824,-46,-496,-5600,6160,14140
3000,841,-133,-539,13160,-16240,11550
3100,832,37,-698,11900,-18690,2380
3200,802,-182,-613,-10360,7700,9240
3300,762,95,-699,20020,-42210,5810
3400,561,-216,-404,8820,30240,21980
3500,880,-102,-553,-4550,-22050,26950
3600,738,-124,-388,-17990,6230,3360
3700,960,-33,-489,-10990,3430,5810
3800,911,-348,-815,15680,5810,29120
3900,448,50,-580,-34370,12460,1190
4000,965,-181,-730,-5810,6090,-13230
4100,477,-32,-425,4830,-4900,-9520
4200,851,-136,-539,19460,-280,-2590
4300,809,-47,-541,25830,-13090,6580
4400,857,101,-574,23590,4060,840
4500,848,-299,-706,34020,-7980,-8050
4600,604,-128,-491,43400,-28770,-9450
4700,782,-97,-576,24780,34300,14350
4800,692,-383,-498,10850,-31710,17640
4900,829,-96,-431,2660,14210,350
5000,835,-221,-493,-13720,-7420,5950
5100,965,-179,-442,-20020,-5530,20090
5200,758,-294,-704,-8190,8190,21560
5300,502,-73,-546,-29190,-18620,27230
5400,815,-122,-551,-8820,17500,-16100
5500,680,-27,-464,1540,-49210,9590
5600,721,-46,-380,-1330,10220,5460
5700,900,-240,-530,5040,-13230,8750
5800,977,148,-778,-8190,-4340,-1120
5900,471,-442,-497,-9030,29680,11760
6000,1100,97,-782,-420,-5670,30380
6100,386,-120,-270,-14000,3710,39060
6200,846,-139,-447,-10710,31080,-7420
6300,1011,-45,-497,910,-17710,13440
6400,952,-516,-1045,20230,9240,26250
6500,409,-261,-509,8260,-23590,8820
6600,735,6,-584,12950,26110,-44660
6700,682,-60,-405,36610,-27370,-1680
6800,771,-209,-538,43330,17430,-16870
6900,1196,-79,-883,6650,-23310,-23870
7000,693,-557,-657,33040,-8820,-10570
7100,657,-218,-466,14490,7560,10500
7200,740,-183,-552,12320,-31780,2030
7300,834,-127,-480,6650,16310,-9520
7400,827,-209,-484,7420,-10220,-4340
7500,908,-156,-656,5950,-5950,14280
7600,686,-203,-617,53410,22120,-15190
7700,694,-111,-660,26600,-44800,2520
7800,764,-12,-512,19530,8330,-26600
7900,808,-113,-567,36400,-26600,-20860
8000,752,25,-541,34790,5110,-21980
8100,851,-29,-550,34510,-17290,-10990
8200,762,-21,-477,50540,-10010,-12740
8300,756,-135,-770,64470,-9870,-24780
8400,646,-305,-507,44940,22050,-18270
8500,1033,-89,-849,64330,-64330,-23450
8600,521,-85,-380,48440,32620,-11690
8700,974,-126,-572,20720,-25480,-10290
8800,653,17,-401,-350,31570,-35700
8900,578,-181,-288,-2100,-16520,-4060
