-1, -14, 1018, 1018.096
-1, -14, 1018, 1018.096
-1, -14, 1018, 1018.096
-1, -14, 1018, 1018.096
-1, -14, 1018, 1018.096
-1, -13, 1017, 1017.083
-1, -13, 1017, 1017.083
-1, -13, 1017, 1017.083
-1, -13, 1017, 1017.083
-1, -13, 1017, 1017.083
-1, -14, 1017, 1017.096
-1, -14, 1017, 1017.096
-1, -14, 1017, 1017.096
-1, -14, 1017, 1017.096
-1, -14, 1017, 1017.096
0, -13, 1017, 1017.083
0, -13, 1017, 1017.083
0, -13, 1017, 1017.083
0, -13, 1017, 1017.083
0, -13, 1017, 1017.083
-1, -15, 1016, 1016.111
-1, -15, 1016, 1016.111
-1, -15, 1016, 1016.111
-1, -15, 1016, 1016.111
-1, -15, 1016, 1016.111
724, 137, 1265, 1463.956
724, 137, 1265, 1463.956
724, 137, 1265, 1463.956
724, 137, 1265, 1463.956
724, 137, 1265, 1463.956
899, 79, 1400, 1665.665
899, 79, 1400, 1665.665
899, 79, 1400, 1665.665
899, 79, 1400, 1665.665
899, 79, 1400, 1665.665
-215, -80, -235, 328.405
-215, -80, -235, 328.405
-215, -80, -235, 328.405
-215, -80, -235, 328.405
-215, -80, -235, 328.405
-120, -294, -474, 570.536
-120, -294, -474, 570.536
-120, -294, -474, 570.536
-120, -294, -474, 570.536
-120, -294, -474, 570.536
462, 255, 514, 736.658
462, 255, 514, 736.658
462, 255, 514, 736.658
462, 255, 514, 736.658
462, 255, 514, 736.658
-53, -210, 1751, 1764.344
-53, -210, 1751, 1764.344
-53, -210, 1751, 1764.344
-53, -210, 1751, 1764.344
-53, -210, 1751, 1764.344
-131, -66, 1019, 1029.503
-131, -66, 1019, 1029.503
-131, -66, 1019, 1029.503
-131, -66, 1019, 1029.503
-131, -66, 1019, 1029.503
106, -113, 970, 982.295
106, -113, 970, 982.295
106, -113, 970, 982.295
